key,en,es
BATTLE_ACTION_SCRAP_THROW_DESCRIPTION, Does {multiplier}×[{stat}] damage to target, Hace {multiplier}×[{stat}] daño al objetivo
BATTLE_ACTION_SCRAP_THROW_VERB, throw scrap at, lanzarle chatarra
STATUS_EFFECT_ATTACK_UP_NAME,Attack Up,Aumento de Ataque
STATUS_EFFECT_ATTACK_UP_DESCRIPTION,Increases attack by {amount} points.,Aumenta el ataque por {amount} puntos.
STATUS_EFFECT_DEFENSE_UP_NAME,Defense Up,Aumento de Defensa
STATUS_EFFECT_DEFENSE_UP_DESCRIPTION,Increases defense by {amount} points.,Aumenta la defensa por {amount} puntos.
STATUS_EFFECT_POISONED_NAME,Poisoned,Envenenado
STATUS_EFFECT_POISONED_DESCRIPTION,Receives {amount} damage at the start of each turn.,Recibe {amount} puntos de daño al comienzo de cada turno.
STATUS_EFFECT_SHOCKED_NAME,Shocked,Shockeado
STATUS_EFFECT_SHOCKED_DESCRIPTION,Recieves half as much AP at the start of each turn.,Recibe la mitad de AP al comienzo de cada turno
STATUS_EFFECT_HYPED_NAME,Hyped,Motivacíon
STATUS_EFFECT_HYPED_DESCRIPTION,Increases attack by {amount} and at the start of each turn heals {amount2}.,Aumenta el ataque en {amount} y al comienzo de cada turno cura {amount2}.
STATUS_EFFECT_FLUSHED_NAME,Flushed,Vergüenza
STATUS_EFFECT_FLUSHED_DESCRIPTION,Reduces both defense and attack by {amount}.,Reduce la defensa y el attaque en {amount} puntos.
STATUS_EFFECT_SONIC_WEAKNESS_NAME,Sonic Weakness,Debilidad sónica
STATUS_EFFECT_SONIC_WEAKNESS_DESCRIPTION,Reduces defense by {amount}.,Reduce la defensa en {amount}.
STATUS_EFFECT_OVERCLOCKED_NAME,Overclocked,Overclockeado
STATUS_EFFECT_OVERCLOCKED_DESCRIPTION,"Increases {stat} by {amount}, but takes {amount2} damage per turn.","Aumenta {stat} en {amount}, pero recibe {amount2} daño por turno."
TUNGESTEN,Tungesten,Tungesteno
COST,Cost,Costo
PURCHASED,Purchased,Comprado
REQUIRES,Requires,Requiere
ATLEAST,At least,Por lo menos
ACTIVE,Active,Activa
INACTIVE,Inactive,Inactiva
NOT_ENOUGH_TUNGESTEN, Not enough tungesten!, No tienes suficiente tungesteno!
SKILL_TREE_UPGRADE_REINFORCED_PLATING_NAME,Reinforced Plating,Revestimiento Reforzado
SKILL_TREE_UPGRADE_REINFORCED_PLATING_DESCRIPTION,Increases defense by {amount} points.,Aumenta la defensa en {amount} puntos.
SKILL_TREE_UPGRADE_VITALITY_NAME,Vitality,Vitalidad
SKILL_TREE_UPGRADE_VITALITY_DESCRIPTION,Increases max health by {amount} points.,Aumenta la vida maxima en {amount} puntos.
SKILL_TREE_UPGRADE_UNLOCK_SHOCK_NAME,Shock,Electroshock
SKILL_TREE_UPGRADE_UNLOCK_SHOCK_DESCRIPTION,Unlocks the Shock ability. It deals a good amount a damage and paralyzes enemies,"Desbloquea la abilidad Electroshock, hace daño y paraliza enemigos"
SKILL_TREE_UPGRADE_HORNS_NAME,Horns,Cuernos
SKILL_TREE_UPGRADE_HORNS_DESCRIPTION,Increases attack by {amount}, Aumenta el daño en {amount}.
SKILL_TREE_UPGRADE_SHARP_HORNS_NAME,Sharp Horns, Cuernos Afilados
SKILL_TREE_UPGRADE_INCREASE_MAX_EQUIPPED_ABILITIES_DESCRIPTION, Increases the amount of abilities you can bring to battle by {amount}.,Aumenta la cantidad de habilidades que puedes llevar a la batalla en {amount}.
SKILL_TREE_UPGRADE_BETTER_RAM_NAME,Better RAM, RAM mejorada
SKILL_TREE_UPGRADE_TOOL_BELT_NAME,Tool Belt,Cinturón de Herramientas
SKILL_TREE_UPGRADE_STRONGER_BREW_NAME,Stronger Brew,Alcohol Mas Fuerte
SKILL_TREE_UPRADE_STRONGER_BREW_DESCRIPTION,Increase the poison damage of {ability_name} by {amount}., Aumenta el daño de veneno de {ability_name} en {amount}.
SKILL_TREE_UPGRADE_HYPERACTIVE_NAME,Hyperactive,Hiperactiva
SKILL_TREE_UPGRADE_HYPERACTIVE_DESCRIPTION,Increases AP regeneration by {amount}.,Aumenta la regeneracion de AP en {amount}.
PASSSIVE_ABILITY_SPIKY_DESCRIPTION,Damages entities that get near by {amount}.,Daña a las entidades que se acercan en {amount}.
CREDITS_LINE_1,Congratulations! You have finished the game.,Felicitaciones! Haz completado el juego.¡Felicitaciones! Has completado el juego.
CREDITS_LINE_2,Credits:,Créditos:
CREDITS_LINE_3,"Made by CopperQueen29, with love and passion. \n Heart <3","Hecho por CopperQueen29, con amor y pasión. \n <3."
CREDITS_LINE_4,Sprites made by my dear friend Angiex161:,Sprites hechos por mi querida amiga Angiex161.
CREDITS_LINE_5,Next up is the things I downloaded online:,De aquí en adelante están los recursos que descargué de internet:
CREDITS_LINE_6,Music,Música
CREDITS_LINE_7,The CC0 music was made by Pixel-boy at Sparklin Labs,La música CC0 fue hecha por Pixel-boy en Sparklin Labs.
CREDITS_LINE_8,SFX,Efectos de sonido
CREDITS_LINE_9,I found a pack of free sound effects here: https://kronbits.itch.io/freesfx,Encontré un pack de efectos de sonido gratis aquí: https://kronbits.itch.io/freesfx.
CREDITS_LINE_10,"The rest I got from https://freesound.org/, recorded audio from streams' clips, or simply made myself.","El resto los saqué de https://freesound.org/, grabé audio de clips de streams o simplemente los hice yo misma."
CREDITS_LINE_11,Special Thanks:,Agradecimientos especiales:
CREDITS_LINE_12,To my mom for being so great.,"A mi madre, por ser tan buena."
CREDITS_LINE_13,To the Neuro twins for being the cutest AIs on the planet.,"A las gemelas Neuro y Evil, por ser las IAs más lindas del planeta."
CREDITS_LINE_14,To Vedal for giving them life.,"A Vedal, por darles vida."
CREDITS_LINE_15,To Anny for being their mom.,"A Anny, por ser su madre."
CREDITS_LINE_16,"To ChatGPT for tirelessly listening to me ramble about the mechanics of my game, and rarely suggesting good ideas.","A ChatGPT, por escuchar incansablemente mis divagaciones sobre cómo funciona mi juego y por rara vez sugerir buenas ideas."
CREDITS_LINE_17,And to you!,¡Y a ti!
CREDITS_LINE_18,I hope you had as much fun playing this as I had making it.,Espero que la hayas pasado tan bien jugando este juego como yo haciéndolo.
